Sample description: 
Sample:   c= 14.3167 mg/ml  Code: BSA_pI_buffer
Parent(s): C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0004_sub.dat C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0007_sub.dat C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0010_sub.dat  
 8.859340e-001  3.173278e+004  2.884368e+002
 8.886940e-001  3.133419e+004  2.914274e+002
 8.914530e-001  3.116943e+004  2.871788e+002
 8.942130e-001  3.077383e+004  2.820926e+002
 8.969720e-001  3.024213e+004  2.769008e+002
 8.997320e-001  2.980632e+004  2.725809e+002
 9.024920e-001  2.970997e+004  2.750834e+002
 9.052510e-001  2.906562e+004  2.690599e+002
 9.080110e-001  2.863795e+004  2.691634e+002
 9.107710e-001  2.872869e+004  2.687032e+002
 9.135300e-001  2.841109e+004  2.658646e+002
 9.162900e-001  2.805345e+004  2.654264e+002
 9.190490e-001  2.755180e+004  2.603163e+002
 9.218090e-001  2.713490e+004  2.606791e+002
 9.245690e-001  2.655930e+004  2.571760e+002
 9.273280e-001  2.633087e+004  2.571504e+002
 9.300880e-001  2.637220e+004  2.577045e+002
 9.328480e-001  2.638405e+004  2.534560e+002
 9.356070e-001  2.553754e+004  2.537480e+002
 9.383670e-001  2.553883e+004  2.513128e+002
 9.411270e-001  2.490868e+004  2.498785e+002
 9.438860e-001  2.459009e+004  2.475074e+002
 9.466460e-001  2.439381e+004  2.459588e+002
 9.494050e-001  2.377112e+004  2.456658e+002
 9.521650e-001  2.408597e+004  2.430096e+002
 9.549250e-001  2.327176e+004  2.426743e+002
 9.576840e-001  2.346141e+004  2.410343e+002
 9.604440e-001  2.287826e+004  2.392927e+002
 9.632040e-001  2.214467e+004  2.379574e+002
 9.659630e-001  2.253900e+004  2.351181e+002
 9.687230e-001  2.180844e+004  2.355646e+002
 9.714820e-001  2.169408e+004  2.314946e+002
 9.742420e-001  2.160539e+004  2.336502e+002
 9.770020e-001  2.159515e+004  2.336396e+002
 9.797610e-001  2.145306e+004  2.294617e+002
 9.825210e-001  2.060284e+004  2.293765e+002
 9.852810e-001  2.052236e+004  2.262544e+002
 9.880400e-001  2.069217e+004  2.281544e+002
 9.908000e-001  2.032391e+004  2.255297e+002
 9.935600e-001  2.010532e+004  2.232232e+002
 9.963190e-001  2.010946e+004  2.259555e+002
 9.990790e-001  1.940527e+004  2.191845e+002
 1.001840e+000  1.900418e+004  2.192095e+002
 1.004600e+000  1.881920e+004  2.166504e+002
 1.007360e+000  1.853452e+004  2.157441e+002
 1.010120e+000  1.892201e+004  2.187339e+002
 1.012880e+000  1.856325e+004  2.154860e+002
 1.015640e+000  1.808873e+004  2.139435e+002
 1.018400e+000  1.749414e+004  2.114573e+002
 1.021160e+000  1.751850e+004  2.119554e+002
 1.023920e+000  1.719911e+004  2.115449e+002
 1.026680e+000  1.716878e+004  2.094535e+002
 1.029430e+000  1.717173e+004  2.106447e+002
 1.032190e+000  1.698832e+004  2.077088e+002
 1.034950e+000  1.690220e+004  2.087058e+002
 1.037710e+000  1.636205e+004  2.050094e+002
 1.040470e+000  1.629119e+004  2.052930e+002
 1.043230e+000  1.615283e+004  2.054654e+002
 1.045990e+000  1.608279e+004  2.040685e+002
 1.048750e+000  1.575935e+004  2.033643e+002
 1.051510e+000  1.567990e+004  2.008851e+002
 1.054270e+000  1.548304e+004  2.060652e+002
 1.057030e+000  1.574102e+004  2.083237e+002
 1.059790e+000  1.512335e+004  2.067658e+002
 1.062550e+000  1.484096e+004  2.098581e+002
 1.065310e+000  1.450940e+004  2.056133e+002
 1.068070e+000  1.482437e+004  2.105548e+002
 1.070830e+000  1.432785e+004  2.084583e+002
 1.073590e+000  1.404298e+004  2.058093e+002
 1.076350e+000  1.399919e+004  2.101786e+002
 1.079110e+000  1.400435e+004  2.084247e+002
 1.081870e+000  1.393347e+004  2.106049e+002
 1.084630e+000  1.353289e+004  2.066486e+002
 1.087390e+000  1.368221e+004  2.086995e+002
 1.090150e+000  1.333225e+004  2.101753e+002
 1.092910e+000  1.305761e+004  2.064093e+002
 1.095670e+000  1.306511e+004  2.092021e+002
 1.098430e+000  1.294409e+004  2.072326e+002
 1.101190e+000  1.316051e+004  2.039343e+002
 1.103940e+000  1.262375e+004  2.011801e+002
 1.106700e+000  1.266404e+004  1.976302e+002
 1.109460e+000  1.243942e+004  1.976796e+002
 1.112220e+000  1.217892e+004  1.931880e+002
 1.114980e+000  1.192587e+004  1.935926e+002
 1.117740e+000  1.200802e+004  1.914801e+002
 1.120500e+000  1.189207e+004  1.904789e+002
 1.123260e+000  1.147557e+004  1.885039e+002
 1.126020e+000  1.144236e+004  1.869556e+002
 1.128780e+000  1.190285e+004  1.908323e+002
 1.131540e+000  1.118941e+004  1.845419e+002
 1.134300e+000  1.130287e+004  1.863647e+002
 1.137060e+000  1.088245e+004  1.838773e+002
 1.139820e+000  1.076027e+004  1.830174e+002
 1.142580e+000  1.071514e+004  1.825643e+002
 1.145340e+000  1.081280e+004  1.802553e+002
 1.148100e+000  1.082808e+004  1.827798e+002
 1.150860e+000  1.045453e+004  1.795414e+002
 1.153620e+000  1.044984e+004  1.788720e+002
 1.156380e+000  1.038267e+004  1.790317e+002
 1.159140e+000  1.046749e+004  1.778754e+002
 1.161900e+000  1.047212e+004  1.782690e+002
 1.164660e+000  1.000250e+004  1.751402e+002
 1.167420e+000  1.021504e+004  1.761710e+002
 1.170180e+000  9.966983e+003  1.750380e+002
 1.172940e+000  1.010179e+004  1.738758e+002
 1.175700e+000  9.672357e+003  1.740355e+002
 1.178450e+000  9.777351e+003  1.716163e+002
 1.181210e+000  9.363942e+003  1.718036e+002
 1.183970e+000  9.521233e+003  1.722491e+002
 1.186730e+000  9.562198e+003  1.701595e+002
 1.189490e+000  9.284203e+003  1.696579e+002
 1.192250e+000  9.186174e+003  1.681226e+002
 1.195010e+000  8.915353e+003  1.687030e+002
 1.197770e+000  9.257643e+003  1.681224e+002
 1.200530e+000  9.197561e+003  1.689816e+002
 1.203290e+000  8.749571e+003  1.664781e+002
 1.206050e+000  8.886930e+003  1.664568e+002
 1.208810e+000  8.692901e+003  1.663790e+002
 1.211570e+000  8.637687e+003  1.647319e+002
 1.214330e+000  8.776293e+003  1.659875e+002
 1.217090e+000  8.566250e+003  1.655584e+002
 1.219850e+000  8.332306e+003  1.626606e+002
 1.222610e+000  8.568981e+003  1.649844e+002
 1.225370e+000  8.381382e+003  1.624865e+002
 1.228130e+000  8.234806e+003  1.621367e+002
 1.230890e+000  8.335240e+003  1.627261e+002
 1.233650e+000  8.366789e+003  1.622107e+002
 1.236410e+000  8.073979e+003  1.607573e+002
 1.239170e+000  8.156516e+003  1.596534e+002
 1.241930e+000  7.821182e+003  1.605993e+002
 1.244690e+000  8.145513e+003  1.601378e+002
 1.247450e+000  8.015714e+003  1.595483e+002
 1.250210e+000  7.752107e+003  1.581664e+002
 1.252960e+000  8.034744e+003  1.589428e+002
 1.255720e+000  7.778884e+003  1.586681e+002
 1.258480e+000  7.855093e+003  1.570984e+002
 1.261240e+000  7.481240e+003  1.559696e+002
 1.264000e+000  7.520613e+003  1.570095e+002
 1.266760e+000  7.314393e+003  1.544557e+002
 1.269520e+000  7.378857e+003  1.562694e+002
 1.272280e+000  7.317668e+003  1.536529e+002
 1.275040e+000  7.249532e+003  1.548158e+002
 1.277800e+000  7.382612e+003  1.543540e+002
 1.280560e+000  7.367038e+003  1.542992e+002
 1.283320e+000  7.088237e+003  1.530620e+002
 1.286080e+000  7.360666e+003  1.535382e+002
