Sample description: 
Sample:   c= 12.3000 mg/ml  Code: BSA_pI_buffer
Parent(s): analysis/processed/averaged/BSA_pI_buffer_0007_sample.dat analysis/processed/averaged/BSA_pI_buffer_0007_buffer.dat
  9.356070e-01   1.324684e+04   2.499722e+02
  9.383670e-01   1.313907e+04   2.470178e+02
  9.411270e-01   1.317607e+04   2.481355e+02
  9.438860e-01   1.300410e+04   2.455933e+02
  9.466460e-01   1.258011e+04   2.421960e+02
  9.494050e-01   1.238273e+04   2.429401e+02
  9.521650e-01   1.275927e+04   2.411337e+02
  9.549250e-01   1.213739e+04   2.401374e+02
  9.576840e-01   1.239372e+04   2.388829e+02
  9.604440e-01   1.200344e+04   2.368291e+02
  9.632040e-01   1.160808e+04   2.355201e+02
  9.659630e-01   1.168792e+04   2.319452e+02
  9.687230e-01   1.090010e+04   2.295294e+02
  9.714820e-01   1.121943e+04   2.279943e+02
  9.742420e-01   1.138754e+04   2.312911e+02
  9.770020e-01   1.145503e+04   2.323705e+02
  9.797610e-01   1.087003e+04   2.244821e+02
  9.825210e-01   1.076627e+04   2.270227e+02
  9.852810e-01   1.031177e+04   2.207427e+02
  9.880400e-01   1.056054e+04   2.236078e+02
  9.908000e-01   1.032522e+04   2.205490e+02
  9.935600e-01   1.041497e+04   2.195034e+02
  9.963190e-01   1.008442e+04   2.204853e+02
  9.990790e-01   1.007681e+04   2.158508e+02
  1.001840e+00   9.580084e+03   2.139738e+02
  1.004600e+00   9.815262e+03   2.136849e+02
  1.007360e+00   9.662350e+03   2.125338e+02
  1.010120e+00   9.593306e+03   2.135849e+02
  1.012880e+00   9.510129e+03   2.110885e+02
  1.015640e+00   9.403144e+03   2.106143e+02
  1.018400e+00   9.160128e+03   2.088103e+02
  1.021160e+00   9.077673e+03   2.083645e+02
  1.023920e+00   8.914962e+03   2.081516e+02
  1.026680e+00   9.053185e+03   2.068485e+02
  1.029430e+00   8.989511e+03   2.079005e+02
  1.032190e+00   8.822380e+03   2.042751e+02
  1.034950e+00   8.740159e+03   2.050142e+02
  1.037710e+00   8.786147e+03   2.035739e+02
  1.040470e+00   8.455048e+03   2.017946e+02
  1.043230e+00   8.430080e+03   2.023032e+02
  1.045990e+00   8.170581e+03   1.989481e+02
  1.048750e+00   7.790453e+03   1.966317e+02
  1.051510e+00   8.180463e+03   1.981853e+02
  1.054270e+00   7.953689e+03   2.020030e+02
  1.057030e+00   7.953068e+03   2.033320e+02
  1.059790e+00   7.730758e+03   2.019468e+02
  1.062550e+00   7.451257e+03   2.043212e+02
  1.065310e+00   7.636135e+03   2.027041e+02
  1.068070e+00   7.754592e+03   2.072750e+02
  1.070830e+00   7.367028e+03   2.041530e+02
  1.073590e+00   7.389099e+03   2.030031e+02
  1.076350e+00   7.243424e+03   2.061121e+02
  1.079110e+00   7.116422e+03   2.031304e+02
  1.081870e+00   7.278533e+03   2.074277e+02
  1.084630e+00   6.974411e+03   2.025003e+02
  1.087390e+00   6.935108e+03   2.029160e+02
  1.090150e+00   6.794266e+03   2.049985e+02
  1.092910e+00   6.552922e+03   2.008293e+02
  1.095670e+00   6.542590e+03   2.032628e+02
  1.098430e+00   6.789166e+03   2.040264e+02
  1.101190e+00   6.995325e+03   2.013972e+02
  1.103940e+00   6.648943e+03   1.981455e+02
  1.106700e+00   6.436650e+03   1.925443e+02
  1.109460e+00   6.109079e+03   1.904397e+02
  1.112220e+00   6.092087e+03   1.873485e+02
  1.114980e+00   6.263156e+03   1.902986e+02
  1.117740e+00   6.198487e+03   1.876290e+02
  1.120500e+00   6.043172e+03   1.853393e+02
  1.123260e+00   5.540572e+03   1.812708e+02
  1.126020e+00   6.142610e+03   1.850789e+02
  1.128780e+00   5.860668e+03   1.841015e+02
  1.131540e+00   5.992369e+03   1.820989e+02
  1.134300e+00   5.769543e+03   1.818294e+02
  1.137060e+00   5.593623e+03   1.795562e+02
  1.139820e+00   5.344898e+03   1.771804e+02
  1.142580e+00   5.347561e+03   1.770511e+02
  1.145340e+00   5.779828e+03   1.775469e+02
  1.148100e+00   5.424140e+03   1.769266e+02
  1.150860e+00   5.270271e+03   1.745018e+02
  1.153620e+00   5.428615e+03   1.758084e+02
  1.156380e+00   5.647954e+03   1.768822e+02
  1.159140e+00   5.544921e+03   1.750269e+02
  1.161900e+00   5.233098e+03   1.723764e+02
  1.164660e+00   5.156907e+03   1.709755e+02
  1.167420e+00   5.294074e+03   1.718705e+02
  1.170180e+00   5.315831e+03   1.716851e+02
  1.172940e+00   5.207329e+03   1.694608e+02
  1.175700e+00   4.903024e+03   1.685828e+02
  1.178450e+00   5.147090e+03   1.682809e+02
  1.181210e+00   4.748372e+03   1.669992e+02
  1.183970e+00   4.941202e+03   1.684186e+02
  1.186730e+00   4.869833e+03   1.657810e+02
  1.189490e+00   4.961351e+03   1.670554e+02
  1.192250e+00   4.893160e+03   1.654772e+02
  1.195010e+00   4.534841e+03   1.640082e+02
  1.197770e+00   4.869258e+03   1.650202e+02
  1.200530e+00   4.699015e+03   1.646198e+02
  1.203290e+00   4.756096e+03   1.642843e+02
  1.206050e+00   4.284903e+03   1.602191e+02
  1.208810e+00   4.345016e+03   1.611279e+02
  1.211570e+00   4.671365e+03   1.617201e+02
  1.214330e+00   4.614652e+03   1.623710e+02
  1.217090e+00   4.423838e+03   1.611744e+02
  1.219850e+00   4.349125e+03   1.591287e+02
  1.222610e+00   4.260811e+03   1.597262e+02
  1.225370e+00   4.184458e+03   1.570930e+02
  1.228130e+00   4.226723e+03   1.576304e+02
  1.230890e+00   4.293843e+03   1.584774e+02
  1.233650e+00   4.237349e+03   1.576635e+02
  1.236410e+00   4.021078e+03   1.557127e+02
  1.239170e+00   4.232884e+03   1.559231e+02
  1.241930e+00   3.881073e+03   1.544460e+02
  1.244690e+00   4.153112e+03   1.554333e+02
  1.247450e+00   3.947458e+03   1.540331e+02
  1.250210e+00   3.950041e+03   1.535662e+02
  1.252960e+00   4.032812e+03   1.540863e+02
  1.255720e+00   4.177463e+03   1.554044e+02
  1.258480e+00   4.092582e+03   1.531791e+02
  1.261240e+00   3.645556e+03   1.506302e+02
  1.264000e+00   3.927182e+03   1.534607e+02
  1.266760e+00   3.782862e+03   1.504651e+02
  1.269520e+00   3.855502e+03   1.525836e+02
  1.272280e+00   3.724791e+03   1.495654e+02
  1.275040e+00   3.912628e+03   1.518682e+02
  1.277800e+00   3.849030e+03   1.508592e+02
  1.280560e+00   3.658050e+03   1.490017e+02
  1.283320e+00   3.558184e+03   1.479009e+02
  1.286080e+00   3.776888e+03   1.491873e+02
  1.288840e+00   3.633760e+03   1.484855e+02
  1.291600e+00   3.709100e+03   1.481790e+02
  1.294360e+00   3.708553e+03   1.482925e+02
  1.297120e+00   3.478001e+03   1.461583e+02
  1.299880e+00   3.408495e+03   1.451383e+02
  1.302640e+00   3.589702e+03   1.485268e+02
  1.305400e+00   3.640213e+03   1.462893e+02
  1.308160e+00   3.778398e+03   1.477553e+02
  1.310920e+00   3.379814e+03   1.447281e+02
  1.313680e+00   3.431814e+03   1.449226e+02
  1.316440e+00   3.517544e+03   1.463126e+02
  1.319200e+00   3.548946e+03   1.448376e+02
  1.321960e+00   3.459439e+03   1.447169e+02
  1.324720e+00   3.288299e+03   1.423571e+02
  1.327470e+00   3.352437e+03   1.438858e+02
  1.330230e+00   3.183810e+03   1.416690e+02
  1.332990e+00   3.539472e+03   1.441522e+02
  1.335750e+00   3.331932e+03   1.431604e+02
  1.338510e+00   3.648098e+03   1.446438e+02
  1.341270e+00   3.175565e+03   1.411088e+02
  1.344030e+00   3.284335e+03   1.411587e+02
  1.346790e+00   3.020696e+03   1.396421e+02
  1.349550e+00   3.459958e+03   1.430403e+02
  1.352310e+00   3.354382e+03   1.415222e+02
  1.355070e+00   3.290989e+03   1.411793e+02
  1.357830e+00   3.172177e+03   1.396208e+02
  1.360590e+00   3.110830e+03   1.389538e+02
  1.363350e+00   2.893215e+03   1.378434e+02
  1.366110e+00   3.071798e+03   1.368826e+02
  1.368870e+00   2.917595e+03   1.381495e+02
  1.371630e+00   2.735744e+03   1.347766e+02
  1.374390e+00   3.081874e+03   1.382808e+02
  1.377150e+00   3.341400e+03   1.396337e+02
  1.379910e+00   3.092193e+03   1.368392e+02
  1.382670e+00   2.851677e+03   1.364221e+02
  1.385430e+00   2.861091e+03   1.348547e+02
  1.388190e+00   3.165812e+03   1.377004e+02
  1.390950e+00   2.619259e+03   1.327374e+02
  1.393710e+00   3.159722e+03   1.369943e+02
  1.396470e+00   2.947565e+03   1.353308e+02
  1.399230e+00   3.045469e+03   1.353564e+02
  1.401990e+00   2.876873e+03   1.345536e+02
  1.404740e+00   2.822329e+03   1.339487e+02
  1.407500e+00   3.024979e+03   1.353317e+02
  1.410260e+00   2.871449e+03   1.343902e+02
  1.413020e+00   2.989387e+03   1.343651e+02
  1.415780e+00   2.841456e+03   1.343714e+02
  1.418540e+00   2.803738e+03   1.328241e+02
  1.421300e+00   2.752959e+03   1.331787e+02
  1.424060e+00   2.791753e+03   1.318241e+02
  1.426820e+00   2.601123e+03   1.310540e+02
  1.429580e+00   2.782194e+03   1.331394e+02
  1.432340e+00   2.649196e+03   1.307653e+02
  1.435100e+00   2.760389e+03   1.330606e+02
  1.437860e+00   2.627048e+03   1.300603e+02
  1.440620e+00   2.334685e+03   1.288808e+02
  1.443380e+00   2.732752e+03   1.316547e+02
  1.446140e+00   2.607194e+03   1.294682e+02
  1.448900e+00   2.652577e+03   1.309227e+02
  1.451660e+00   2.576102e+03   1.286066e+02
  1.454420e+00   2.668193e+03   1.312274e+02
  1.457180e+00   2.693536e+03   1.295020e+02
  1.459940e+00   2.732966e+03   1.300206e+02
  1.462700e+00   2.935897e+03   1.324755e+02
  1.465460e+00   2.679455e+03   1.292439e+02
  1.468220e+00   2.458855e+03   1.283684e+02
  1.470980e+00   2.426628e+03   1.270108e+02
  1.473740e+00   2.570808e+03   1.282923e+02
  1.476500e+00   2.663476e+03   1.295276e+02
  1.479250e+00   2.549824e+03   1.274246e+02
  1.482010e+00   2.523385e+03   1.277551e+02
  1.484770e+00   2.505190e+03   1.274766e+02
  1.487530e+00   2.636378e+03   1.286844e+02
  1.490290e+00   2.473415e+03   1.273906e+02
  1.493050e+00   2.726761e+03   1.281070e+02
  1.495810e+00   2.746295e+03   1.290441e+02
  1.498570e+00   2.523961e+03   1.265310e+02
  1.501330e+00   2.595600e+03   1.267351e+02
  1.504090e+00   2.469015e+03   1.265901e+02
  1.506850e+00   2.379496e+03   1.243640e+02
  1.509610e+00   2.444037e+03   1.262833e+02
  1.512370e+00   2.425688e+03   1.245332e+02
  1.515130e+00   2.432504e+03   1.253286e+02
  1.517890e+00   2.454923e+03   1.254242e+02
  1.520650e+00   2.608701e+03   1.262938e+02
  1.523410e+00   2.544875e+03   1.261515e+02
  1.526170e+00   2.369272e+03   1.245949e+02
  1.528930e+00   2.340389e+03   1.235003e+02
  1.531690e+00   2.493748e+03   1.249733e+02
